i,j,t
0,85,201202
0,243,201202
0,1,201202
0,23,201202
0,81,201202
0,38,201202
0,552,201202
0,118,201202
0,160,201202
0,35,201202
0,157,201202
0,143,201202
0,101,201202
0,99,201202
0,57,201202
0,114,201202
0,112,201202
0,133,201202
0,183,201202
0,31,201202
0,69,201202
0,120,201202
0,12,201202
0,13,201202
0,119,201202
0,40,201202
0,10,201202
0,102,201202
0,64,201202
0,9,201202
0,107,201202
0,77,201202
0,165,201202
0,52,201202
0,154,201202
0,135,201202
0,51,201202
0,54,201202
0,28,201202
0,18,201202
0,2,201202
0,149,201202
0,155,201202
0,72,201202
0,29,201202
0,116,201202
0,274,201202
0,55,201202
0,14,201202
0,92,201202
0,108,201202
0,60,201202
0,4,201202
0,47,201202
0,79,201202
0,16,201202
0,113,201202
0,19,201202
0,36,201202
0,32,201202
0,20,201202
0,134,201202
0,139,201202
0,21,201202
0,96,201202
0,11,201202
0,97,201202
0,100,201202
0,26,201202
0,163,201202
0,136,201202
0,27,201202
0,83,201202
0,6,201202
0,5,201202
0,25,201202
0,146,201202
0,17,201202
0,80,201202
0,46,201202
0,48,201202
0,59,201202
0,137,201202
1,69,201202
1,10,201202
1,243,201202
1,27,201202
1,552,201202
1,209,201202
1,784,201202
1,77,201202
1,17,201202
1,160,201202
1,1236,201202
1,5,201202
1,96,201202
1,136,201202
1,121,201202
1,23,201202
1,143,201202
1,146,201202
1,153,201202
1,26,201202
1,112,201202
1,85,201202
1,89,201202
1,108,201202
1,25,201202
1,61,201202
1,60,201202
1,4,201202
1,57,201202
1,133,201202
1,183,201202
1,184,201202
1,51,201202
1,1109,201202
1,7,201202
1,28,201202
1,123,201202
1,16,201202
1,315,201202
1,116,201202
1,38,201202
1,9,201202
1,13,201202
1,71,201202
1,34,201202
1,45,201202
1,47,201202
1,97,201202
1,0,201202
1,139,201202
1,132,201202
1,99,201202
1,80,201202
1,32,201202
1,21,201202
1,64,201202
1,53,201202
1,24,201202
1,2,201202
1,29,201202
1,18,201202
1,40,201202
1,274,201202
1,299,201202
1,11,201202
1,93,201202
1,536,201202
1,83,201202
1,941,201202
1,1366,201202
1,180,201202
1,100,201202
1,1355,201202
1,52,201202
1,157,201202
1,54,201202
1,149,201202
1,155,201202
1,115,201202
1,261,201202
1,906,201202
1,113,201202
1,150,201202
1,102,201202
1,20,201202
1,211,201202
1,22,201202
1,70,201202
1,37,201202
1,189,201202
1,130,201202
1,213,201202
1,19,201202
1,110,201202
1,124,201202
1,48,201202
1,165,201202
1,142,201202
1,81,201202
1,59,201202
1,35,201202
1,72,201202
1,6,201202
1,8,201202
1,107,201202
1,12,201202
1,31,201202
1,14,201202
1,154,201202
1,92,201202
1,137,201202
1,135,201202
1,46,201202
2,48,201202
2,195,201202
2,28,201202
2,340,201202
2,26,201202
2,552,201202
2,385,201202
2,165,201202
2,339,201202
2,160,201202
2,85,201202
2,137,201202
2,93,201202
2,138,201202
2,143,201202
2,87,201202
2,17,201202
2,71,201202
2,184,201202
2,261,201202
2,177,201202
2,183,201202
2,64,201202
2,150,201202
2,4,201202
2,122,201202
2,86,201202
2,395,201202
2,866,201202
2,36,201202
2,21,201202
2,115,201202
2,97,201202
2,213,201202
2,102,201202
2,136,201202
2,25,201202
2,29,201202
2,113,201202
2,142,201202
2,119,201202
2,1227,201202
2,13,201202
2,20,201202
2,112,201202
2,133,201202
2,175,201202
2,32,201202
2,189,201202
2,354,201202
2,22,201202
2,18,201202
2,51,201202
2,132,201202
2,69,201202
2,83,201202
2,11,201202
2,5,201202
2,393,201202
2,124,201202
2,19,201202
2,10,201202
2,9,201202
2,107,201202
2,100,201202
2,167,201202
2,53,201202
2,23,201202
2,341,201202
2,346,201202
2,1147,201202
2,38,201202
2,77,201202
2,40,201202
2,120,201202
2,27,201202
2,157,201202
2,80,201202
2,81,201202
2,155,201202
2,52,201202
2,1169,201202
2,154,201202
2,72,201202
2,116,201202
2,59,201202
2,96,201202
2,0,201202
2,46,201202
2,108,201202
2,1,201202
2,6,201202
2,60,201202
2,31,201202
2,135,201202
2,14,201202
2,92,201202
2,274,201202
3,311,201202
3,69,201202
3,247,201202
4,102,201202
4,110,201202
4,222,201202
4,843,201202
4,69,201202
4,427,201202
4,160,201202
4,1070,201202
4,5,201202
4,51,201202
4,109,201202
4,127,201202
4,99,201202
4,147,201202
4,10,201202
4,37,201202
4,395,201202
4,261,201202
4,28,201202
4,59,201202
4,13,201202
4,108,201202
4,1,201202
4,137,201202
4,906,201202
4,80,201202
4,1366,201202
4,213,201202
4,781,201202
4,19,201202
4,130,201202
4,72,201202
4,77,201202
4,14,201202
4,57,201202
4,85,201202
4,139,201202
4,26,201202
4,25,201202
4,633,201202
4,17,201202
4,18,201202
4,16,201202
4,40,201202
4,32,201202
4,20,201202
4,22,201202
4,165,201202
4,36,201202
4,27,201202
4,97,201202
4,305,201202
4,0,201202
4,29,201202
4,183,201202
4,12,201202
4,35,201202
4,100,201202
4,128,201202
4,113,201202
4,60,201202
4,64,201202
4,306,201202
4,133,201202
4,1169,201202
4,31,201202
4,346,201202
4,11,201202
4,150,201202
4,92,201202
4,23,201202
4,274,201202
4,88,201202
